Michigan County Code,City/Township Code,Ward Number,Precinct Number,Precinct Label,Office Code,District Code,Office Description,County Name,City/Township Description,standardized_id_num,,Michigan County Code,City/Township Code,Ward Number,Precinct Number,Office Code,District Code,Office Description,County Name,City/Township Description,standardized_id_num
63,85,2,32,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,3,1,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,3,2,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,3,3,,6,1100,11TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,3,12,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,3,13,,6,1100,11TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,3,16,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,3,24,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,3,31,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,4,5,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,4,11,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,4,15,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,4,20,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,4,27,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,4,28,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,85,4,30,,6,800,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,ROCHESTER HILLS CITY,1.2569E+12,,,,,,,,,,,
63,96,0,3,,6,1100,11TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OAKLAND,WALLED LAKE CITY,1.25831E+12,,,,,,,,,,,
69,52,2,1,,6,100,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OTSEGO,GAYLORD CITY,1.37317E+12,,,,,,,,,,,
69,52,3,1,,6,100,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OTSEGO,GAYLORD CITY,1.37317E+12,,,,,,,,,,,
70,10,0,17,,6,200,2ND DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,OTTAWA,GEORGETOWN TOWNSHIP,1.39319E+12,,,,,,,,,,,
